DISTRICT,STATE_ABBR,STATE,ELECTION_YEAR,CLASS_OR_OFFICE,IE_LIVE_RATING,RATING_NUMERIC,IE_LIVE_SIGNED,IE_PREVIOUS_RATING,IE_SHIFT,FLIPPED,IE_RATING_DATE,IE_INCUMBENT_NAME,IE_INCUMBENT_PARTY,IE_OPEN,IE_SPECIAL,NOTE
TX-15,TX,Texas,2026,House,Tilt Republican,7,-1.0,Lean Republican,left,False,2026-08-20T13:25:00-05:00,Monica De La Cruz,R,False,False,
SC-01,SC,South Carolina,2026,House,Likely Republican,9,-3.0,Solid Republican,left,False,2026-08-20T13:24:00-05:00,Nancy Mace,R,True,False,
NV-02,NV,Nevada,2026,House,Likely Republican,9,-3.0,Solid Republican,left,False,2026-08-20T13:23:00-05:00,Mark Amodei,R,True,False,
KY-06,KY,Kentucky,2026,House,Likely Republican,9,-3.0,Solid Republican,left,False,2026-08-20T13:22:00-05:00,Andy Barr,R,True,False,
NJ-09,NJ,New Jersey,2026,House,Likely Democrat,1,3.0,Lean Democrat,left,False,2026-08-20T13:22:00-05:00,Nelida Pou,D,False,False,
CO-05,CO,Colorado,2026,House,Lean Republican,8,-2.0,Likely Republican,left,False,2026-08-20T13:21:00-05:00,Jeff Crank,R,False,False,
CA-21,CA,California,2026,House,Solid Democrat,0,4.0,Likely Democrat,left,False,2026-08-20T13:20:00-05:00,Jim Costa,D,False,False,
CA-45,CA,California,2026,House,Lean Democrat,2,2.0,Tilt Democrat,left,False,2026-08-20T13:20:00-05:00,Derek Tran,D,False,False,
OH-07,OH,Ohio,2026,House,Toss-up,5,0.0,Lean Republican,left,False,2026-08-10T19:27:42-05:00,Max Miller,R,False,False,
IA-02,IA,Iowa,2026,House,Lean Republican,8,-2.0,Likely Republican,left,False,2026-08-06T13:20:00-05:00,Ashley Hinson,R,True,False,
IA-03,IA,Iowa,2026,House,Toss-up,5,0.0,Tilt Republican,left,False,2026-08-06T13:20:00-05:00,Zach Nunn,R,False,False,
MI-08,MI,Michigan,2026,House,Solid Democrat,0,4.0,Likely Democrat,left,False,2026-08-06T13:20:00-05:00,Kristen McDonald Rivet,D,False,False,
PA-17,PA,Pennsylvania,2026,House,Solid Democrat,0,4.0,Likely Democrat,left,False,2026-06-12T13:55:04-05:00,Deluzio,D,False,False,
IN-01,IN,Indiana,2026,House,Likely Democrat,1,3.0,Lean Democrat,left,False,2026-06-12T13:52:16-05:00,Mrvan,D,False,False,
NC-11,NC,North Carolina,2026,House,Lean Republican,8,-2.0,Likely Republican,left,False,2026-06-12T13:48:16-05:00,Edwards,R,True,False,Edwards withdrew following a House Ethics Committee investigation.
CA-06,CA,California,2026,House,Lean Democrat,2,2.0,Likely Democrat,right,True,2026-06-12T13:47:11-05:00,Bera running in CA-03,D,True,False,
OH-01,OH,Ohio,2026,House,Tilt Democrat,3,1.0,Toss-up,left,False,2026-06-12T13:45:12-05:00,Landsman,D,False,False,
NJ-07,NJ,New Jersey,2026,House,Tilt Democrat,3,1.0,Toss-up,left,True,2026-06-12T13:44:04-05:00,Kean,R,False,False,
WI-03,WI,Wisconsin,2026,House,Toss-up,5,0.0,Tilt Republican,left,False,2026-06-12T13:42:12-05:00,Van Orden,R,False,False,
PA-08,PA,Pennsylvania,2026,House,Toss-up,5,0.0,Tilt Republican,left,False,2026-06-12T13:41:01-05:00,Bresnahan,R,False,False,
AL-02,AL,Alabama,2026,House,Likely Republican,9,-3.0,Solid Democrat,right,True,2026-06-04T09:36:05-05:00,Figures,D,False,False,
LA-06,LA,Louisiana,2026,House,Solid Republican,10,-4.0,Solid Democrat,right,True,2026-06-04T09:33:58-05:00,Fields,D,True,False,
VA-07,VA,Virginia,2026,House,Likely Democrat,1,3.0,Lean Democrat,left,False,2026-05-21T21:00:34-05:00,Eugene Vindman,D,False,False,
PA-10,PA,Pennsylvania,2026,House,Toss-up,5,0.0,Tilt Republican,left,False,2026-05-21T20:58:39-05:00,Perry,R,False,False,
WA-03,WA,Washington,2026,House,Toss-up,5,0.0,Tilt Democrat,right,False,2026-05-21T20:56:46-05:00,Gluesenkamp Perez,D,False,False,
CA-01,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,True,2026-05-08T00:00:00-05:00,Gallagher,R,False,False,
CA-03,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2026-05-08T00:00:00-05:00,Kiley running in CA-06,D,True,False,
CA-14,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2026-05-08T00:00:00-05:00,Aisha Wahab,D,False,False,
CA-25,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2026-05-08T00:00:00-05:00,Ruiz,D,False,False,
