DISTRICT,STATE_ABBR,POLL_COUNT,USABLE_POLL_COUNT,UNIQUE_POLLSTERS,EFFECTIVE_POLL_COUNT,LAST_POLL_DATE,DAYS_SINCE_LAST_POLL,DEM_MEAN,REP_MEAN,MARGIN,POLLING_DISPERSION,INTERNAL_SHARE,LV_POLL_COUNT,RV_POLL_COUNT,AVG_SAMPLE_SIZE,MEDIAN_SAMPLE_SIZE,POLL_COVERAGE_SCORE,POLL_COVERAGE,UNMAPPED_POLL_COUNT
AK-AL,AK,9,6,3,3.0492500672002363,2026-08-05,32.86520936506944,26.64763894264498,50.12401255912784,-23.47637361648286,14.107822888974285,0.0,5,1,1022.6666666666666,1097.0,54.88539925564455,Medium,3
AR-02,AR,1,1,1,1.0,2026-08-13,24.865209365069443,48.0,44.0,4.0,0.0,0.0,1,0,1112.0,1112.0,40.253263544976846,Low,0
AZ-06,AZ,4,4,3,1.4818156528077806,2026-06-11,87.86520936506945,44.695986442899226,43.02513123677077,1.6708552061284578,0.9574271077563381,0.0,4,0,470.25,450.0,29.694540359344224,Low,0
CA-06,CA,1,1,1,1.0,2026-07-16,52.86520936506945,39.0,35.0,4.0,0.0,0.0,1,0,741.0,741.0,30.919930211643514,Low,0
CA-22,CA,2,2,2,1.0007414876082619,2026-06-21,77.86520936506945,45.739712541220634,43.24657084707355,2.4931416941470843,2.8284271247461903,0.0,1,0,673.5,673.5,26.756507553263,Low,0
CA-48,CA,1,1,1,1.0,2026-09-01,5.865209365069445,45.0,42.0,3.0,0.0,0.0,1,0,522.0,522.0,46.58659687831018,Medium,0
CO-03,CO,1,1,1,1.0,2026-01-12,237.86520936506943,39.0,48.00000000000001,-9.000000000000007,0.0,0.0,1,0,400.0,400.0,18.541666666666668,Low,0
FL-13,FL,2,2,2,1.6761577453345562,2026-08-27,10.865209365069443,43.159326561793044,44.68134687641391,-1.5220203146208675,6.363961030678928,0.0,2,0,450.0,450.0,52.044787014148866,Medium,0
FL-22,FL,1,1,1,1.0,2026-08-12,25.865209365069443,50.0,50.0,0.0,0.0,0.0,1,0,551.0,551.0,39.91993021164352,Low,0
FL-27,FL,3,3,2,2.00939697207378,2026-03-08,182.86520936506946,38.25,45.75000000000001,-7.500000000000007,3.511884584284246,0.0,1,2,568.6666666666666,451.0,27.124445086156122,Low,0
