STATE,INCUMBENT,DEM MEAN,REP MEAN,MARGIN,RATING,DATA_SOURCE,POLL_COUNT,USABLE_POLL_COUNT,UNIQUE_POLLSTERS,EFFECTIVE_POLL_COUNT,LAST_POLL_DATE,DAYS_SINCE_LAST_POLL,POLLING_DISPERSION,INTERNAL_SHARE,POLL_COVERAGE_SCORE,POLL_COVERAGE,INSIDE_RATING,INSIDE_PREVIOUS_RATING,INSIDE_SHIFT,INSIDE_RATING_DATE
Alaska,R,49.946839606868814,48.71938948084908,1.2274501260197326,Tilt Republican,VoteHub weighted aggregate,14,11,4,2.6083231501606985,2026-08-23,14.865209365069445,2.6699336048945965,0.0,63.12301066026323,Medium,Tilt Republican,Lean Republican,left,2026-09-03T14:05:51-05:00
Georgia,D,49.174436801575936,42.114398936792135,7.060037864783801,Tilt Democrat,VoteHub weighted aggregate,15,15,11,3.608147620326475,2026-08-17,20.865209365069447,3.544452405822775,0.0,73.83057605057185,High,Tilt Democrat,Toss-up,left,2026-08-06T13:20:00-05:00
Iowa,R,47.675,49.025,-1.3500000000000014,Tilt Republican,Model.xlsx fallback,13,0,0,,,,,,0.0,None,Tilt Republican,Lean Republican,left,2026-08-06T13:20:00-05:00
Maine,R,47.80572173455749,45.0335063325994,2.7722154019580856,Tilt Republican,VoteHub weighted aggregate,34,34,17,10.360535902488074,2026-08-10,27.865209365069443,3.774513461581208,0.0,90.71159687831019,High,Tilt Republican,Battleground Republican,right,2025-07-24T00:00:00-05:00
Michigan,D,46.400000000000006,44.574999999999996,1.82500000000001,Toss-up,Model.xlsx fallback,55,0,0,,,,,,0.0,None,Toss-up,Toss-up,no-change,2025-07-24T00:00:00-05:00
Montana,R,44.2,55.800000000000004,-11.600000000000001,Solid Republican,Model.xlsx fallback,22,0,0,,,,,,0.0,None,Solid Republican,Likely Republican,right,2026-06-25T11:49:57-05:00
Nebraska,R,44.800000000000004,55.2,-10.399999999999999,Likely Republican,Model.xlsx fallback,0,0,0,0.0,,,,,0.0,Fallback,Likely Republican,Solid Republican,left,2026-04-23T21:07:00-05:00
New Hampshire,D,50.275000000000006,44.525,5.750000000000007,Toss-up,Model.xlsx fallback,20,0,0,,,,,,0.0,None,Toss-up,Tilt Democrat,right,2026-09-03T14:01:06-05:00
North Carolina,R,49.875,42.699999999999996,7.175000000000004,Tilt Democrat,Model.xlsx fallback,33,0,0,,,,,,0.0,None,Tilt Democrat,Toss-up,left,2026-08-06T13:20:00-05:00
Ohio,R,49.02557648211452,45.981671840766786,3.043904641347737,Toss-up,VoteHub weighted aggregate,15,15,10,3.9473068770751545,2026-08-13,24.865209365069443,4.756779622912162,0.0,73.98106446551398,High,Toss-up,Tilt Republican,left,2026-09-03T14:01:48-05:00
Texas,R,41.8875,42.862500000000004,-0.9750000000000014,Lean Republican,VoteHub weighted aggregate,35,8,8,3.121053355346943,2026-04-20,139.86520936506946,4.4918179584026525,0.0,48.65460842964288,Medium,Lean Republican,Likely Republican,left,2026-08-06T13:20:00-05:00
