District ID,Rating Raw,Rating Standardized,Rating Numeric,Rating Signed v27,Date,Previous Rating Raw,Previous Rating Standardized,Shift,Incumbent,Party,Open,Special,Note,Retrieved At
TX-35,Lean Republican,Lean R,8,-2.0,2026-09-03T14:29:41-05:00,Likely Republican,Likely R,left,Greg Casar,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
MN-01,Likely Republican,Likely R,9,-3.0,2026-09-03T14:18:46-05:00,Solid Republican,Safe R,left,Brad Finstad,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
FL-14,Tilt Republican,Tilt R,7,-1.0,2026-09-03T14:15:18-05:00,Lean Republican,Lean R,left,Kathy Castor,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
TX-15,Tilt Republican,Tilt R,7,-1.0,2026-08-20T13:25:00-05:00,Lean Republican,Lean R,left,Monica De La Cruz,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
SC-01,Likely Republican,Likely R,9,-3.0,2026-08-20T13:24:00-05:00,Solid Republican,Safe R,left,Nancy Mace,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
NV-02,Likely Republican,Likely R,9,-3.0,2026-08-20T13:23:00-05:00,Solid Republican,Safe R,left,Mark Amodei,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
KY-06,Likely Republican,Likely R,9,-3.0,2026-08-20T13:22:00-05:00,Solid Republican,Safe R,left,Andy Barr,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
NJ-09,Likely Democrat,Likely D,1,3.0,2026-08-20T13:22:00-05:00,Lean Democrat,Lean D,left,Nelida Pou,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CO-05,Lean Republican,Lean R,8,-2.0,2026-08-20T13:21:00-05:00,Likely Republican,Likely R,left,Jeff Crank,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
CA-21,Solid Democrat,Safe D,0,4.0,2026-08-20T13:20:00-05:00,Likely Democrat,Likely D,left,Jim Costa,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-45,Lean Democrat,Lean D,2,2.0,2026-08-20T13:20:00-05:00,Tilt Democrat,Tilt D,left,Derek Tran,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
OH-07,Toss-up,Tossup,5,0.0,2026-08-10T19:27:42-05:00,Lean Republican,Lean R,left,Max Miller,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
IA-02,Lean Republican,Lean R,8,-2.0,2026-08-06T13:20:00-05:00,Likely Republican,Likely R,left,Ashley Hinson,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
IA-03,Toss-up,Tossup,5,0.0,2026-08-06T13:20:00-05:00,Tilt Republican,Tilt R,left,Zach Nunn,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
MI-08,Solid Democrat,Safe D,0,4.0,2026-08-06T13:20:00-05:00,Likely Democrat,Likely D,left,Kristen McDonald Rivet,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
PA-17,Solid Democrat,Safe D,0,4.0,2026-06-12T13:55:04-05:00,Likely Democrat,Likely D,left,Deluzio,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
IN-01,Likely Democrat,Likely D,1,3.0,2026-06-12T13:52:16-05:00,Lean Democrat,Lean D,left,Mrvan,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
NC-11,Lean Republican,Lean R,8,-2.0,2026-06-12T13:48:16-05:00,Likely Republican,Likely R,left,Edwards,Republican,True,False,Edwards withdrew following a House Ethics Committee investigation.,2026-09-08T11:21:44.007813+00:00
CA-06,Lean Democrat,Lean D,2,2.0,2026-06-12T13:47:11-05:00,Likely Democrat,Likely D,right,Amerish Bera; Kevin Kiley,Independent,True,False,,2026-09-08T11:21:44.007813+00:00
OH-01,Tilt Democrat,Tilt D,3,1.0,2026-06-12T13:45:12-05:00,Toss-up,Tossup,left,Landsman,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
NJ-07,Tilt Democrat,Tilt D,3,1.0,2026-06-12T13:44:04-05:00,Toss-up,Tossup,left,Kean,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
WI-03,Toss-up,Tossup,5,0.0,2026-06-12T13:42:12-05:00,Tilt Republican,Tilt R,left,Van Orden,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
PA-08,Toss-up,Tossup,5,0.0,2026-06-12T13:41:01-05:00,Tilt Republican,Tilt R,left,Bresnahan,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AL-02,Likely Republican,Likely R,9,-3.0,2026-06-04T09:36:05-05:00,Solid Democrat,Safe D,right,Figures,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
LA-06,Solid Republican,Safe R,10,-4.0,2026-06-04T09:33:58-05:00,Solid Democrat,Safe D,right,Fields,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
VA-07,Likely Democrat,Likely D,1,3.0,2026-05-21T21:00:34-05:00,Lean Democrat,Lean D,left,Eugene Vindman,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
PA-10,Toss-up,Tossup,5,0.0,2026-05-21T20:58:39-05:00,Tilt Republican,Tilt R,left,Perry,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
WA-03,Toss-up,Tossup,5,0.0,2026-05-21T20:56:46-05:00,Tilt Democrat,Tilt D,right,Gluesenkamp Perez,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-01,Solid Democrat,Safe D,0,4.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,no-change,Gallagher,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
CA-03,Solid Democrat,Safe D,0,4.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,no-change,Kevin Kiley; Amerish Bera,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
CA-14,Solid Democrat,Safe D,0,4.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,no-change,Aisha Wahab,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-25,Solid Democrat,Safe D,0,4.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,no-change,Ruiz,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-26,Solid Democrat,Safe D,0,4.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,no-change,Brownley,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
CA-47,Solid Democrat,Safe D,0,4.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,no-change,Min,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-48,Tilt Democrat,Tilt D,3,1.0,2026-05-08T00:00:00-05:00,Tilt Democrat,Tilt D,no-change,Issa,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
CO-03,Likely Republican,Likely R,9,-3.0,2026-05-08T00:00:00-05:00,Likely Republican,Likely R,no-change,Hurd,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
FL-09,Likely Republican,Likely R,9,-3.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,right,Soto,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
FL-11,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Solid Republican,Safe R,no-change,Webster,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
FL-22,Tilt Republican,Tilt R,7,-1.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,right,Lois Frankel,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
FL-23,Solid Democrat,Safe D,0,4.0,2026-05-08T00:00:00-05:00,Lean Democrat,Lean D,left,Jared Moskowitz; Lois Frankel,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
FL-25,Toss-up,Tossup,5,0.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,right,Debbie Wasserman Schultz; Jared Moskowitz,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
FL-27,Likely Republican,Likely R,9,-3.0,2026-05-08T00:00:00-05:00,Likely Republican,Likely R,no-change,Salazar,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
GA-14,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Solid Republican,Safe R,no-change,Fuller,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
MI-03,Likely Democrat,Likely D,1,3.0,2026-05-08T00:00:00-05:00,Likely Democrat,Likely D,no-change,Scholten,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
MO-06,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Solid Republican,Safe R,no-change,S. Graves,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
MT-01,Likely Republican,Likely R,9,-3.0,2026-05-08T00:00:00-05:00,Likely Republican,Likely R,no-change,Zinke,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
NY-21,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Solid Republican,Safe R,no-change,Stefanik,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
NC-01,Lean Republican,Lean R,8,-2.0,2026-05-08T00:00:00-05:00,Lean Republican,Lean R,no-change,Davis,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
OH-13,Solid Democrat,Safe D,0,4.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,no-change,Sykes,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
OK-01,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Solid Republican,Safe R,no-change,Hern,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
TN-05,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Likely Republican,Likely R,right,Ogles,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
TN-09,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,right,Cohen,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
TX-02,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Solid Republican,Safe R,no-change,Crenshaw,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
TX-23,Likely Republican,Likely R,9,-3.0,2026-05-08T00:00:00-05:00,Likely Republican,Likely R,no-change,VACANT,Republican,False,True,,2026-09-08T11:21:44.007813+00:00
UT-01,Solid Democrat,Safe D,0,4.0,2026-05-08T00:00:00-05:00,Solid Democrat,Safe D,no-change,Moore,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
UT-02,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Solid Republican,Safe R,no-change,Celeste Maloy; Blake Moore,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
UT-03,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Solid Republican,Safe R,no-change,Mike Kennedy; Celeste Maloy,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
UT-04,Solid Republican,Safe R,10,-4.0,2026-05-08T00:00:00-05:00,Solid Republican,Safe R,no-change,Burgess Owens; Mike Kennedy,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
WI-01,Solid Republican,Safe R,10,-4.0,2026-03-12T16:14:51-05:00,Likely Republican,Likely R,right,Steil,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
FL-02,Solid Republican,Safe R,10,-4.0,2026-02-05T05:55:48-05:00,Solid Republican,Safe R,no-change,Dunn,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
FL-16,Solid Republican,Safe R,10,-4.0,2026-02-05T05:55:48-05:00,Solid Republican,Safe R,no-change,Buchanan,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
GA-10,Solid Republican,Safe R,10,-4.0,2026-02-05T05:55:48-05:00,Solid Republican,Safe R,no-change,Collins,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
GA-11,Solid Republican,Safe R,10,-4.0,2026-02-05T05:55:48-05:00,Solid Republican,Safe R,no-change,Loudermilk,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
LA-05,Solid Republican,Safe R,10,-4.0,2026-02-05T05:55:48-05:00,Solid Republican,Safe R,no-change,Letlow,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
MD-05,Solid Democrat,Safe D,0,4.0,2026-02-05T05:55:48-05:00,Solid Democrat,Safe D,no-change,Hoyer,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
NJ-11,Solid Democrat,Safe D,0,4.0,2026-02-05T05:55:48-05:00,Solid Democrat,Safe D,no-change,Mejia,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
SC-05,Solid Republican,Safe R,10,-4.0,2026-02-05T05:55:48-05:00,Solid Republican,Safe R,no-change,Norman,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
TX-18,Solid Democrat,Safe D,0,4.0,2026-02-05T05:55:48-05:00,Solid Democrat,Safe D,no-change,Menefee,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
TX-38,Solid Republican,Safe R,10,-4.0,2026-02-05T05:55:48-05:00,Solid Republican,Safe R,no-change,Wesley Hunt,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
WY-AL,Solid Republican,Safe R,10,-4.0,2026-02-05T05:55:48-05:00,Solid Republican,Safe R,no-change,Harriet Hageman,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
AL-01,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Moore,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
AL-03,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,M. Rogers,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AL-04,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Aderholt,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AL-05,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Strong,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AL-06,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Palmer,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AL-07,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Sewell,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
AK-AL,Likely Republican,Likely R,9,-3.0,2025-12-05T00:00:00-05:00,Likely Republican,Likely R,no-change,Begich,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AZ-01,Toss-up,Tossup,5,0.0,2025-12-05T00:00:00-05:00,Toss-up,Tossup,no-change,Schweikert,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
AZ-02,Likely Republican,Likely R,9,-3.0,2025-12-05T00:00:00-05:00,Likely Republican,Likely R,no-change,Crane,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
