Matchup,cd,dem_name,rep_name,prediction,raw_prediction,bucket,win_prob_d,flip,win_prob_r,District ID,Rating Standardized,Rating Signed v27
Bill Hill (Ind) vs Nick Begich (R),AK-AL,Bill Hill (Ind),Nick Begich,R+10.4,10.4,Likely R,9,N,91,AK-AL,Likely R,-3.0
Clyde Jones Jr. (D) vs Jerry Carl (R),AL-01,Clyde Jones Jr.,Jerry Carl,R+28.3,28.3,Safe R,0,N,100,AL-01,Safe R,-4.0
Shomari Figures (D) vs Rhett Marques (R),AL-02,Shomari Figures,Rhett Marques,R+0.4,0.4,Tossup,48,Y,52,AL-02,Tossup,0.0
Lee McInnis (D) vs Mike Rogers (R),AL-03,Lee McInnis,Mike Rogers,R+41.6,41.6,Safe R,0,N,100,AL-03,Safe R,-4.0
Amanda Pusczek (D) vs Robert Aderholt (R),AL-04,Amanda Pusczek,Robert Aderholt,R+60.7,60.7,Safe R,0,N,100,AL-04,Safe R,-4.0
Andrew Sneed (D) vs Dale Strong (R),AL-05,Andrew Sneed,Dale Strong,R+24.6,24.6,Safe R,0,N,100,AL-05,Safe R,-4.0
Maurice Mercer (D) vs Gary Palmer (R),AL-06,Maurice Mercer,Gary Palmer,R+27.2,27.2,Safe R,0,N,100,AL-06,Safe R,-4.0
Terri Sewell (D) vs Ammie Akin (R),AL-07,Terri Sewell,Ammie Akin,D+33.9,-33.9,Safe D,100,N,0,AL-07,Safe D,4.0
Terri Green (D) vs Rick Crawford (R),AR-01,Terri Green,Rick Crawford,R+41.9,41.9,Safe R,0,N,100,AR-01,Safe R,-4.0
Chris Jones (D) vs French Hill (R),AR-02,Chris Jones,French Hill,R+5.9,5.9,Likely R,20,N,80,AR-02,Likely R,-3.0
Robb Ryerse (D) vs Steve Womack (R),AR-03,Robb Ryerse,Steve Womack,R+21.4,21.4,Safe R,0,N,100,AR-03,Safe R,-4.0
James Russell (D) vs Bruce Westerman (R),AR-04,James Russell,Bruce Westerman,R+36.0,36.0,Safe R,0,N,100,AR-04,Safe R,-4.0
Amish Shah (D) vs Jay Feely (R),AZ-01,Amish Shah,Jay Feely,D+7.1,-7.1,Likely D,85,Y,15,AZ-01,Likely D,3.0
Jonathan Nez (D) vs Eli Crane (R),AZ-02,Jonathan Nez,Eli Crane,R+2.8,2.8,Lean R,33,N,67,AZ-02,Lean R,-2.0
Yassamin Ansari (D) vs Nicholas Glenn (R),AZ-03,Yassamin Ansari,Nicholas Glenn,D+57.9,-57.9,Safe D,100,N,0,AZ-03,Safe D,4.0
Greg Stanton (D) vs Zuhdi Jasser (R),AZ-04,Greg Stanton,Zuhdi Jasser,D+21.9,-21.9,Safe D,100,N,0,AZ-04,Safe D,4.0
Elizabeth Lee (D) vs Mark Lamb (R),AZ-05,Elizabeth Lee,Mark Lamb,R+12.7,12.7,Safe R,3,N,97,AZ-05,Safe R,-4.0
JoAnna Mendoza (D) vs Juan Ciscomani (R),AZ-06,JoAnna Mendoza,Juan Ciscomani,D+7.5,-7.5,Likely D,87,Y,13,AZ-06,Likely D,3.0
Adelita Grijalva (D) vs Daniel Butierez (R),AZ-07,Adelita Grijalva,Daniel Butierez,D+39.3,-39.3,Safe D,100,N,0,AZ-07,Safe D,4.0
Bernadette Greene-Placentia (D) vs Abraham Hamadeh (R),AZ-08,Bernadette Greene-Placentia,Abraham Hamadeh,R+9.6,9.6,Likely R,8,N,92,AZ-08,Likely R,-3.0
Dani Sterbinsky (D) vs Paul Gosar (R),AZ-09,Dani Sterbinsky,Paul Gosar,R+22.5,22.5,Safe R,0,N,100,AZ-09,Safe R,-4.0
Mike McGuire (D) vs James Gallagher (R),CA-01,Mike McGuire,James Gallagher,D+17.3,-17.3,Safe D,99,Y,1,CA-01,Safe D,4.0
Jared Huffman (D) vs Robin Littau (R),CA-02,Jared Huffman,Robin Littau,D+34.8,-34.8,Safe D,100,N,0,CA-02,Safe D,4.0
Ami Bera (D) vs Robb Tucker (R),CA-03,Ami Bera,Robb Tucker,D+21.2,-21.2,Safe D,100,N,0,CA-03,Safe D,4.0
Mike Thompson (D) vs Eric Jones (D),CA-04,Mike Thompson/Eric Jones,Not Contested,D+100.0,-100.0,Safe D,100,N,0,CA-04,Safe D,4.0
Michael Masuda (D) vs Tom McClintock (R),CA-05,Michael Masuda,Tom McClintock,R+18.5,18.5,Safe R,1,N,99,CA-05,Safe R,-4.0
Richard Pan (D) vs Kevin Kiley (Ind),CA-06,Richard Pan,Kevin Kiley (Ind),D+10.1,-10.1,Likely D,93,Y,7,CA-06,Likely D,3.0
Doris Matsui (D) vs Mai Vang (D),CA-07,Doris Matsui/Mai Vang,Not Contested,D+100.0,-100.0,Safe D,100,N,0,CA-07,Safe D,4.0
John Garamendi (D) vs Rudy Recile (R),CA-08,John Garamendi,Rudy Recile,D+46.2,-46.2,Safe D,100,N,0,CA-08,Safe D,4.0
Josh Harder (D) vs John McBride (R),CA-09,Josh Harder,John McBride,D+25.8,-25.8,Safe D,100,N,0,CA-09,Safe D,4.0
Mark DeSaulnier (D) vs Jeff Frese (R),CA-10,Mark DeSaulnier,Jeff Frese,D+43.0,-43.0,Safe D,100,N,0,CA-10,Safe D,4.0
Scott Weiner (D) vs Connie Chan (D),CA-11,Scott Weiner/Connie Chan,Not Contested,D+100.0,-100.0,Safe D,100,N,0,CA-11,Safe D,4.0
Lateefah Simon (D),CA-12,Lateefah Simon,Not Contested,D+100.0,-100.0,Safe D,100,N,0,CA-12,Safe D,4.0
Adam Gray (D) vs Kevin Lincoln (R),CA-13,Adam Gray,Kevin Lincoln,D+13.4,-13.4,Safe D,97,N,3,CA-13,Safe D,4.0
Aisha Wahab (D) vs Melissa Hernandez (D),CA-14,Aisha Wahab/Melissa Hernandez,Not Contested,D+100.0,-100.0,Safe D,100,N,0,CA-14,Safe D,4.0
Kevin Mullin (D) vs Charles Hoelter (R),CA-15,Kevin Mullin,Charles Hoelter,D+58.1,-58.1,Safe D,100,N,0,CA-15,Safe D,4.0
Sam Liccardo (D) vs Peter Soule (R),CA-16,Sam Liccardo,Peter Soule,D+60.2,-60.2,Safe D,100,N,0,CA-16,Safe D,4.0
Ro Khanna (D) vs Ritesh Tandon (R),CA-17,Ro Khanna,Ritesh Tandon,D+49.7,-49.7,Safe D,100,N,0,CA-17,Safe D,4.0
Zoe Lofgren (D) vs Shane Lewis (R),CA-18,Zoe Lofgren,Shane Lewis,D+38.9,-38.9,Safe D,100,N,0,CA-18,Safe D,4.0
Jimmy Panetta (D) vs Peter Coe Verbica (R),CA-19,Jimmy Panetta,Peter Coe Verbica,D+46.6,-46.6,Safe D,100,N,0,CA-19,Safe D,4.0
Sandra Van Scotter (D) vs Vince Fong (R),CA-20,Sandra Van Scotter,Vince Fong,R+30.9,30.9,Safe R,0,N,100,CA-20,Safe R,-4.0
Jim Costa (D) vs Kyle Kirkland (R),CA-21,Jim Costa,Kyle Kirkland,D+16.8,-16.8,Safe D,99,N,1,CA-21,Safe D,4.0
Randy Villegas (D) vs David Valadao (R),CA-22,Randy Villegas,David Valadao,D+1.7,-1.7,Lean D,60,Y,40,CA-22,Lean D,2.0
Tessa Lynn Hodge (D) vs Jay Obernolte (R),CA-23,Tessa Lynn Hodge,Jay Obernolte,R+19.4,19.4,Safe R,0,N,100,CA-23,Safe R,-4.0
Salud Carbajal (D) vs Bob Smith (R),CA-24,Salud Carbajal,Bob Smith,D+34.2,-34.2,Safe D,100,N,0,CA-24,Safe D,4.0
Raul Ruiz (D) vs Joe Males (R),CA-25,Raul Ruiz,Joe Males,D+21.8,-21.8,Safe D,100,N,0,CA-25,Safe D,4.0
Jacqui Irwin (D) vs Sam Gallucci (R),CA-26,Jacqui Irwin,Sam Gallucci,D+23.1,-23.1,Safe D,100,N,0,CA-26,Safe D,4.0
George Whitesides (D) vs Jason Gibbs (R),CA-27,George Whitesides,Jason Gibbs,D+23.1,-23.1,Safe D,100,N,0,CA-27,Safe D,4.0
Judy Chu (D) vs April A. Verlato (R),CA-28,Judy Chu,April A. Verlato,D+36.9,-36.9,Safe D,100,N,0,CA-28,Safe D,4.0
Luz Rivas (D) vs Angélica María Dueñas (D),CA-29,Luz Rivas/Angélica María Dueñas,Not Contested,D+100.0,-100.0,Safe D,100,N,0,CA-29,Safe D,4.0
Laura Friedman (D) vs Scott Alan Meyers (R),CA-30,Laura Friedman,Scott Alan Meyers,D+51.1,-51.1,Safe D,100,N,0,CA-30,Safe D,4.0
Gil Cisneros (D) vs Eric Ching (R),CA-31,Gil Cisneros,Eric Ching,D+22.8,-22.8,Safe D,100,N,0,CA-31,Safe D,4.0
Brad Sherman (D) vs Larry Thompson (R),CA-32,Brad Sherman,Larry Thompson,D+34.8,-34.8,Safe D,100,N,0,CA-32,Safe D,4.0
Pete Aguilar (D) vs Stephanie M. Vargas (R),CA-33,Pete Aguilar,Stephanie M. Vargas,D+23.4,-23.4,Safe D,100,N,0,CA-33,Safe D,4.0
Jimmy Gomez (D) vs Angela Gonzales-Torres (D),CA-34,Jimmy Gomez/Angela Gonzales-Torres,Not Contested,D+100.0,-100.0,Safe D,100,N,0,CA-34,Safe D,4.0
Norma Torres (D) vs Mike Cargile (R),CA-35,Norma Torres,Mike Cargile,D+20.4,-20.4,Safe D,100,N,0,CA-35,Safe D,4.0
Ted Lieu (D) vs Houston Brignano (R),CA-36,Ted Lieu,Houston Brignano,D+48.4,-48.4,Safe D,100,N,0,CA-36,Safe D,4.0
Sydney Kamlager-Dove (D) vs Samantha Mota (D),CA-37,Sydney Kamlager-Dove/Samantha Mota,Not Contested,D+100.0,-100.0,Safe D,100,N,0,CA-37,Safe D,4.0
Hilda Solis (D) vs Pedro Antonio Casas (R),CA-38,Hilda Solis,Pedro Antonio Casas,D+23.6,-23.6,Safe D,100,Y,0,CA-38,Safe D,4.0
Mark Takano (D) vs Steve Manos (R),CA-39,Mark Takano,Steve Manos,D+22.5,-22.5,Safe D,100,N,0,CA-39,Safe D,4.0
Young Kim (R) vs Ken Calvert (R),CA-40,Not Contested,Young Kim/Ken Calvert,R+100.0,100.0,Safe R,0,N,100,CA-40,Safe R,-4.0
Linda Sanchez (D) vs Mitch Clemmons (R),CA-41,Linda Sanchez,Mitch Clemmons,D+26.6,-26.6,Safe D,100,N,0,CA-41,Safe D,4.0
Robert Garcia (D) vs Brian Burley (R),CA-42,Robert Garcia,Brian Burley,D+24.7,-24.7,Safe D,100,N,0,CA-42,Safe D,4.0
Maxine Waters (D) vs Cristian Morales (R),CA-43,Maxine Waters,Cristian Morales,D+61.3,-61.3,Safe D,100,N,0,CA-43,Safe D,4.0
Nanette Barragan (D) vs Genevieve Angel (R),CA-44,Nanette Barragan,Genevieve Angel,D+51.5,-51.5,Safe D,100,N,0,CA-44,Safe D,4.0
Derek Tran (D) vs Chuong V. Vo (R),CA-45,Derek Tran,Chuong V. Vo,D+18.0,-18.0,Safe D,99,N,1,CA-45,Safe D,4.0
Lou Correa (D) vs David Pan (R),CA-46,Lou Correa,David Pan,D+33.7,-33.7,Safe D,100,N,0,CA-46,Safe D,4.0
Dave Min (D) vs Jenny Rae Le Roux (R),CA-47,Dave Min,Jenny Rae Le Roux,D+21.0,-21.0,Safe D,100,N,0,CA-47,Safe D,4.0
Marni von Wilpert (D) vs Jim Desmond (R),CA-48,Marni von Wilpert,Jim Desmond,D+9.0,-9.0,Likely D,90,Y,10,CA-48,Likely D,3.0
Mike Levin (D) vs Armen Kurdian (R),CA-49,Mike Levin,Armen Kurdian,D+21.9,-21.9,Safe D,100,N,0,CA-49,Safe D,4.0
Scott Peters (D) vs Steve Cohen (R),CA-50,Scott Peters,Steve Cohen,D+27.3,-27.3,Safe D,100,N,0,CA-50,Safe D,4.0
Sara Jacobs (D) vs Ricardo Cabrera (R),CA-51,Sara Jacobs,Ricardo Cabrera,D+29.1,-29.1,Safe D,100,N,0,CA-51,Safe D,4.0
Juan Vargas (D) vs Jeff Belle (R),CA-52,Juan Vargas,Jeff Belle,D+32.8,-32.8,Safe D,100,N,0,CA-52,Safe D,4.0
Melat Kiros (D) vs Christy Peterson (R),CO-01,Melat Kiros,Christy Peterson,D+66.3,-66.3,Safe D,100,N,0,CO-01,Safe D,4.0
Joe Neguse (D) vs Kelley Anne Dennison (R),CO-02,Joe Neguse,Kelley Anne Dennison,D+51.8,-51.8,Safe D,100,N,0,CO-02,Safe D,4.0
Dwayne Romero (D) vs Jeff Hurd (R),CO-03,Dwayne Romero,Jeff Hurd,R+3.7,3.7,Lean R,29,N,71,CO-03,Lean R,-2.0
Eileen Laubacher (D) vs Lauren Boebert (R),CO-04,Eileen Laubacher,Lauren Boebert,R+1.7,1.7,Lean R,40,N,60,CO-04,Lean R,-2.0
Jessica Killin (D) vs Jeff Crank (R),CO-05,Jessica Killin,Jeff Crank,R+4.5,4.5,Lean R,25,N,75,CO-05,Lean R,-2.0
Jason Crow (D) vs Mel Tewahade (R),CO-06,Jason Crow,Mel Tewahade,D+32.8,-32.8,Safe D,100,N,0,CO-06,Safe D,4.0
Brittany Pettersen (D) vs Tim Bennett (R),CO-07,Brittany Pettersen,Tim Bennett,D+28.2,-28.2,Safe D,100,N,0,CO-07,Safe D,4.0
Manny Rutinel (D) vs Gabe Evans (R),CO-08,Manny Rutinel,Gabe Evans,D+3.2,-3.2,Lean D,69,Y,31,CO-08,Lean D,2.0
Luke Bronin (D) vs Amy Chai (R),CT-01,Luke Bronin,Amy Chai,D+34.3,-34.3,Safe D,100,N,0,CT-01,Safe D,4.0
Joe Courtney (D) vs George Austin (R),CT-02,Joe Courtney,George Austin,D+25.4,-25.4,Safe D,100,N,0,CT-02,Safe D,4.0
Rosa DeLauro (D) vs Christopher Lancia (R),CT-03,Rosa DeLauro,Christopher Lancia,D+28.6,-28.6,Safe D,100,N,0,CT-03,Safe D,4.0
Jim Himes (D) vs Michael Goldstein (R),CT-04,Jim Himes,Michael Goldstein,D+34.6,-34.6,Safe D,100,N,0,CT-04,Safe D,4.0
Jahana Hayes (D) vs Chris Shea (R),CT-05,Jahana Hayes,Chris Shea,D+18.3,-18.3,Safe D,99,N,1,CT-05,Safe D,4.0
Sarah McBride (D) vs Eventual Nominee (R),DE-AL,Sarah McBride,Eventual Nominee,D+28.3,-28.3,Safe D,100,N,0,DE-AL,Safe D,4.0
Gay Valimont (D) vs Jimmy Patronis (R),FL-01,Gay Valimont,Jimmy Patronis,R+31.4,31.4,Safe R,0,N,100,FL-01,Safe R,-4.0
Amanda Green (D) vs Austin Rogers (R),FL-02,Amanda Green,Austin Rogers,R+12.8,12.8,Safe R,3,N,97,FL-02,Safe R,-4.0
