poll_id,seat_name,subject,normalized_district,reason,unmatched_choices,answers
us-202pubbb8b4b1e,AK-01,2026 AK-01,AK-AL,NONCURRENT_OR_NON_DR_MATCHUP,Matt Schultz,"[{""choice"": ""Nick Begich III"", ""pct"": 46.0}, {""choice"": ""Matt Schultz"", ""pct"": 39.0}]"
us-202datdf44d5f6,AK-01,2026 AK-01,AK-AL,NONCURRENT_OR_NON_DR_MATCHUP,Matt Schultz,"[{""choice"": ""Nick Begich III"", ""pct"": 48.0}, {""choice"": ""Matt Schultz"", ""pct"": 37.0}]"
us-202pubd70ec8a7,CA-22,2026 CA-22,CA-22,NONCURRENT_OR_NON_DR_MATCHUP,Jasmeet Bains,"[{""choice"": ""David Valadao"", ""pct"": 42.0}, {""choice"": ""Jasmeet Bains"", ""pct"": 42.0}]"
us-202expe9bb28f8,CO-03,2026 CO-03,CO-03,NONCURRENT_OR_NON_DR_MATCHUP,Alex Kelloff,"[{""choice"": ""Jeff Hurd"", ""pct"": 48.0}, {""choice"": ""Alex Kelloff"", ""pct"": 39.0}]"
us-202kap5c7b111b,FL-27,2026 FL-27,FL-27,NONCURRENT_OR_NON_DR_MATCHUP,Alex Fornino,"[{""choice"": ""María Elvira Salazar"", ""pct"": 45.0}, {""choice"": ""Alex Fornino"", ""pct"": 35.0}]"
us-202blu35c04618,FL-27,2026 FL-27,FL-27,NONCURRENT_OR_NON_DR_MATCHUP,Robin Peguero,"[{""choice"": ""María Elvira Salazar"", ""pct"": 47.0}, {""choice"": ""Robin Peguero"", ""pct"": 40.0}]"
us-202uni1e77eaee,ME-02,2026 ME-02,ME-02,NONCURRENT_OR_NON_DR_MATCHUP,Joe Baldacci,"[{""choice"": ""Joe Baldacci"", ""pct"": 47.0}, {""choice"": ""Paul LePage"", ""pct"": 48.0}]"
us-202pane2511ac9,ME-02,2026 ME-02,ME-02,NONCURRENT_OR_NON_DR_MATCHUP,Joe Baldacci,"[{""choice"": ""Joe Baldacci"", ""pct"": 43.0}, {""choice"": ""Paul LePage"", ""pct"": 44.0}]"
us-202unifa33b54f,ME-02,2026 ME-02,ME-02,NONCURRENT_OR_NON_DR_MATCHUP,Jordan Wood,"[{""choice"": ""Jordan Wood"", ""pct"": 44.0}, {""choice"": ""Paul LePage"", ""pct"": 48.0}]"
us-202pub34b08a80,MI-07,2026 MI-07,MI-07,NONCURRENT_OR_NON_DR_MATCHUP,Bridget Brink,"[{""choice"": ""Tom Barrett"", ""pct"": 41.0}, {""choice"": ""Bridget Brink"", ""pct"": 45.0}]"
us-202pub328ef142,MI-07,2026 MI-07,MI-07,NONCURRENT_OR_NON_DR_MATCHUP,Matt Maasdam,"[{""choice"": ""Tom Barrett"", ""pct"": 39.0}, {""choice"": ""Matt Maasdam"", ""pct"": 43.0}]"
us-202ups0e7ad4b1,MT-01,2026 MT-01,MT-01,NONCURRENT_OR_NON_DR_MATCHUP,Matt Rains,"[{""choice"": ""Matt Rains"", ""pct"": 43.0}, {""choice"": ""Aaron Flint"", ""pct"": 47.0}]"
us-202mdwdd432a7f,FL-28,2026 FL-28,FL-28,NONCURRENT_OR_NON_DR_MATCHUP,Hector Mujica,"[{""choice"": ""Carlos Giménez"", ""pct"": 46.0}, {""choice"": ""Hector Mujica"", ""pct"": 40.0}]"
us-202thef47fdc98,AK-01,2026 AK-01,AK-AL,NONCURRENT_OR_NON_DR_MATCHUP,Nick Begich | Matt Schultz,"[{""choice"": ""Nick Begich"", ""pct"": 51.0}, {""choice"": ""Matt Schultz"", ""pct"": 39.0}]"
us-202ala08564c87,AK-01,2026 AK-01,AK-AL,NONCURRENT_OR_NON_DR_MATCHUP,Nick Begich,"[{""choice"": ""Nick Begich"", ""pct"": 50.6}, {""choice"": ""Bill Hill"", ""pct"": 39.1}, {""choice"": ""Eric Hafner"", ""pct"": 4.6}, {""choice"": ""John Williams"", ""pct"": 5.7}]"
